statistic ,month_text,agricultural_product,value
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Milk,104.27
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Energy,111.94
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Fertilisers,105.07
Agricultural Input and Output Price Indices (Base 2020=100),2020 January,Compound feeding stuffs,100.36
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Milk,105.56
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Energy,108.89
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Fertilisers,102.51
Agricultural Input and Output Price Indices (Base 2020=100),2020 February,Compound feeding stuffs,98.61
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Milk,98.89
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Energy,105.1
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Fertilisers,102.07
Agricultural Input and Output Price Indices (Base 2020=100),2020 March,Compound feeding stuffs,98.94
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Milk,94.93
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Energy,97.38
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Fertilisers,102.02
Agricultural Input and Output Price Indices (Base 2020=100),2020 April,Compound feeding stuffs,99.92
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Milk,95.98
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Energy,93.41
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Fertilisers,101.13
Agricultural Input and Output Price Indices (Base 2020=100),2020 May,Compound feeding stuffs,100.16
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Milk,98.81
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Energy,95.92
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Fertilisers,100.01
Agricultural Input and Output Price Indices (Base 2020=100),2020 June,Compound feeding stuffs,100.38
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Milk,100.2
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Energy,98.04
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Fertilisers,98.84
Agricultural Input and Output Price Indices (Base 2020=100),2020 July,Compound feeding stuffs,100.33
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Milk,100.78
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Energy,98.14
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Fertilisers,98.45
Agricultural Input and Output Price Indices (Base 2020=100),2020 August,Compound feeding stuffs,99.48
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Milk,102.31
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Energy,97.02
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Fertilisers,97.53
Agricultural Input and Output Price Indices (Base 2020=100),2020 September,Compound feeding stuffs,99.3
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Milk,103.91
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Energy,98.2
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Fertilisers,97.57
Agricultural Input and Output Price Indices (Base 2020=100),2020 October,Compound feeding stuffs,99.72
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Milk,104.35
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Energy,98.42
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Fertilisers,97.46
Agricultural Input and Output Price Indices (Base 2020=100),2020 November,Compound feeding stuffs,100.78
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Milk,104.46
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Energy,97.54
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Fertilisers,97.34
Agricultural Input and Output Price Indices (Base 2020=100),2020 December,Compound feeding stuffs,102.02
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Milk,104.41
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Energy,100.07
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Fertilisers,97.74
Agricultural Input and Output Price Indices (Base 2020=100),2021 January,Compound feeding stuffs,103.57
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Milk,111.01
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Energy,103.01
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Fertilisers,101.47
Agricultural Input and Output Price Indices (Base 2020=100),2021 February,Compound feeding stuffs,105.07
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Milk,113.94
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Energy,107.9
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Fertilisers,106.07
Agricultural Input and Output Price Indices (Base 2020=100),2021 March,Compound feeding stuffs,106.32
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Milk,113.48
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Energy,109.11
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Fertilisers,110.14
Agricultural Input and Output Price Indices (Base 2020=100),2021 April,Compound feeding stuffs,108.12
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Milk,115.6
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Energy,111.31
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Fertilisers,114.65
Agricultural Input and Output Price Indices (Base 2020=100),2021 May,Compound feeding stuffs,109.97
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Milk,115.37
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Energy,112.52
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Fertilisers,115.9
Agricultural Input and Output Price Indices (Base 2020=100),2021 June,Compound feeding stuffs,110.89
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Milk,114.93
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Energy,115.84
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Fertilisers,118.03
Agricultural Input and Output Price Indices (Base 2020=100),2021 July,Compound feeding stuffs,111.8
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Milk,115.88
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Energy,117.92
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Fertilisers,121.59
Agricultural Input and Output Price Indices (Base 2020=100),2021 August,Compound feeding stuffs,111.89
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Milk,118.58
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Energy,119.42
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Fertilisers,127.26
Agricultural Input and Output Price Indices (Base 2020=100),2021 September,Compound feeding stuffs,114.4
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Milk,121.91
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Energy,128.24
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Fertilisers,148.54
Agricultural Input and Output Price Indices (Base 2020=100),2021 October,Compound feeding stuffs,116.12
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Milk,127.43
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Energy,132.17
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Fertilisers,151.18
Agricultural Input and Output Price Indices (Base 2020=100),2021 November,Compound feeding stuffs,117.86
Agricultural Input and Output Price Indices (Base 2020=100),2021 December,Milk,132.78
Agricultural Input and Output Price Indices (Base 2020=100),2021 December,Energy,130.68
Agricultural Input and Output Price Indices (Base 2020=100),2021 December,Fertilisers,175.98
Agricultural Input and Output Price Indices (Base 2020=100),2021 December,Compound feeding stuffs,119.89
Agricultural Input and Output Price Indices (Base 2020=100),2022 January,Milk,137.99
Agricultural Input and Output Price Indices (Base 2020=100),2022 January,Energy,132.35
Agricultural Input and Output Price Indices (Base 2020=100),2022 January,Fertilisers,216.45
Agricultural Input and Output Price Indices (Base 2020=100),2022 January,Compound feeding stuffs,124.32
Agricultural Input and Output Price Indices (Base 2020=100),2022 February,Milk,144.27
Agricultural Input and Output Price Indices (Base 2020=100),2022 February,Energy,137.76
Agricultural Input and Output Price Indices (Base 2020=100),2022 February,Fertilisers,232.02
Agricultural Input and Output Price Indices (Base 2020=100),2022 February,Compound feeding stuffs,126.52
Agricultural Input and Output Price Indices (Base 2020=100),2022 March,Milk,149.9
Agricultural Input and Output Price Indices (Base 2020=100),2022 March,Energy,169.11
Agricultural Input and Output Price Indices (Base 2020=100),2022 March,Fertilisers,258.62
Agricultural Input and Output Price Indices (Base 2020=100),2022 March,Compound feeding stuffs,130.26
Agricultural Input and Output Price Indices (Base 2020=100),2022 April,Milk,159.68
Agricultural Input and Output Price Indices (Base 2020=100),2022 April,Energy,157.59
Agricultural Input and Output Price Indices (Base 2020=100),2022 April,Fertilisers,295.46
Agricultural Input and Output Price Indices (Base 2020=100),2022 April,Compound feeding stuffs,137.15
Agricultural Input and Output Price Indices (Base 2020=100),2022 May,Milk,168.36
Agricultural Input and Output Price Indices (Base 2020=100),2022 May,Energy,169.81
Agricultural Input and Output Price Indices (Base 2020=100),2022 May,Fertilisers,292.64
Agricultural Input and Output Price Indices (Base 2020=100),2022 May,Compound feeding stuffs,146
Agricultural Input and Output Price Indices (Base 2020=100),2022 June,Milk,172.24
Agricultural Input and Output Price Indices (Base 2020=100),2022 June,Energy,182.25
Agricultural Input and Output Price Indices (Base 2020=100),2022 June,Fertilisers,274.59
Agricultural Input and Output Price Indices (Base 2020=100),2022 June,Compound feeding stuffs,148.61
Agricultural Input and Output Price Indices (Base 2020=100),2022 July,Milk,179.8
Agricultural Input and Output Price Indices (Base 2020=100),2022 July,Energy,176.99
Agricultural Input and Output Price Indices (Base 2020=100),2022 July,Fertilisers,268.12
Agricultural Input and Output Price Indices (Base 2020=100),2022 July,Compound feeding stuffs,150.88
Agricultural Input and Output Price Indices (Base 2020=100),2022 August,Milk,178.08
Agricultural Input and Output Price Indices (Base 2020=100),2022 August,Energy,167.66
Agricultural Input and Output Price Indices (Base 2020=100),2022 August,Fertilisers,269.58
Agricultural Input and Output Price Indices (Base 2020=100),2022 August,Compound feeding stuffs,151.61
Agricultural Input and Output Price Indices (Base 2020=100),2022 September,Milk,178.71
Agricultural Input and Output Price Indices (Base 2020=100),2022 September,Energy,169.6
Agricultural Input and Output Price Indices (Base 2020=100),2022 September,Fertilisers,273.08
Agricultural Input and Output Price Indices (Base 2020=100),2022 September,Compound feeding stuffs,151.64
Agricultural Input and Output Price Indices (Base 2020=100),2022 October,Milk,177.96
Agricultural Input and Output Price Indices (Base 2020=100),2022 October,Energy,184.67
Agricultural Input and Output Price Indices (Base 2020=100),2022 October,Fertilisers,277.65
Agricultural Input and Output Price Indices (Base 2020=100),2022 October,Compound feeding stuffs,153.45
Agricultural Input and Output Price Indices (Base 2020=100),2022 November,Milk,180.53
Agricultural Input and Output Price Indices (Base 2020=100),2022 November,Energy,183.6
Agricultural Input and Output Price Indices (Base 2020=100),2022 November,Fertilisers,277.57
Agricultural Input and Output Price Indices (Base 2020=100),2022 November,Compound feeding stuffs,155
Agricultural Input and Output Price Indices (Base 2020=100),2022 December,Milk,197.38
Agricultural Input and Output Price Indices (Base 2020=100),2022 December,Energy,167.23
Agricultural Input and Output Price Indices (Base 2020=100),2022 December,Fertilisers,275.47
Agricultural Input and Output Price Indices (Base 2020=100),2022 December,Compound feeding stuffs,155.86
Agricultural Input and Output Price Indices (Base 2020=100),2023 January,Milk,180.98
Agricultural Input and Output Price Indices (Base 2020=100),2023 January,Energy,167.38
Agricultural Input and Output Price Indices (Base 2020=100),2023 January,Fertilisers,270.53
Agricultural Input and Output Price Indices (Base 2020=100),2023 January,Compound feeding stuffs,155.97
Agricultural Input and Output Price Indices (Base 2020=100),2023 February,Milk,160.45
Agricultural Input and Output Price Indices (Base 2020=100),2023 February,Energy,165.42
Agricultural Input and Output Price Indices (Base 2020=100),2023 February,Fertilisers,259.99
Agricultural Input and Output Price Indices (Base 2020=100),2023 February,Compound feeding stuffs,156.42
Agricultural Input and Output Price Indices (Base 2020=100),2023 March,Milk,141.77
Agricultural Input and Output Price Indices (Base 2020=100),2023 March,Energy,162.6
Agricultural Input and Output Price Indices (Base 2020=100),2023 March,Fertilisers,245.61
Agricultural Input and Output Price Indices (Base 2020=100),2023 March,Compound feeding stuffs,156.32
Agricultural Input and Output Price Indices (Base 2020=100),2023 April,Milk,129.54
Agricultural Input and Output Price Indices (Base 2020=100),2023 April,Energy,159.19
Agricultural Input and Output Price Indices (Base 2020=100),2023 April,Fertilisers,213.41
Agricultural Input and Output Price Indices (Base 2020=100),2023 April,Compound feeding stuffs,155.55
Agricultural Input and Output Price Indices (Base 2020=100),2023 May,Milk,128.34
Agricultural Input and Output Price Indices (Base 2020=100),2023 May,Energy,151.99
Agricultural Input and Output Price Indices (Base 2020=100),2023 May,Fertilisers,189.78
Agricultural Input and Output Price Indices (Base 2020=100),2023 May,Compound feeding stuffs,150.99
Agricultural Input and Output Price Indices (Base 2020=100),2023 June,Milk,123.56
Agricultural Input and Output Price Indices (Base 2020=100),2023 June,Energy,153.85
Agricultural Input and Output Price Indices (Base 2020=100),2023 June,Fertilisers,159.17
Agricultural Input and Output Price Indices (Base 2020=100),2023 June,Compound feeding stuffs,146.71
Agricultural Input and Output Price Indices (Base 2020=100),2023 July,Milk,117.41
Agricultural Input and Output Price Indices (Base 2020=100),2023 July,Energy,154.81
Agricultural Input and Output Price Indices (Base 2020=100),2023 July,Fertilisers,151.32
Agricultural Input and Output Price Indices (Base 2020=100),2023 July,Compound feeding stuffs,144.41
Agricultural Input and Output Price Indices (Base 2020=100),2023 August,Milk,110.37
Agricultural Input and Output Price Indices (Base 2020=100),2023 August,Energy,163.15
Agricultural Input and Output Price Indices (Base 2020=100),2023 August,Fertilisers,150.73
Agricultural Input and Output Price Indices (Base 2020=100),2023 August,Compound feeding stuffs,140.14
Agricultural Input and Output Price Indices (Base 2020=100),2023 September,Milk,110.17
Agricultural Input and Output Price Indices (Base 2020=100),2023 September,Energy,171.59
Agricultural Input and Output Price Indices (Base 2020=100),2023 September,Fertilisers,151.77
Agricultural Input and Output Price Indices (Base 2020=100),2023 September,Compound feeding stuffs,137.35
Agricultural Input and Output Price Indices (Base 2020=100),2023 October,Milk,109.83
Agricultural Input and Output Price Indices (Base 2020=100),2023 October,Energy,171.49
Agricultural Input and Output Price Indices (Base 2020=100),2023 October,Fertilisers,151.9
Agricultural Input and Output Price Indices (Base 2020=100),2023 October,Compound feeding stuffs,133.82
Agricultural Input and Output Price Indices (Base 2020=100),2023 November,Milk,115.22
Agricultural Input and Output Price Indices (Base 2020=100),2023 November,Energy,161.6
Agricultural Input and Output Price Indices (Base 2020=100),2023 November,Fertilisers,151.59
Agricultural Input and Output Price Indices (Base 2020=100),2023 November,Compound feeding stuffs,133.37
Agricultural Input and Output Price Indices (Base 2020=100),2023 December,Milk,119.64
Agricultural Input and Output Price Indices (Base 2020=100),2023 December,Energy,156.43
Agricultural Input and Output Price Indices (Base 2020=100),2023 December,Fertilisers,151.55
Agricultural Input and Output Price Indices (Base 2020=100),2023 December,Compound feeding stuffs,132.11
Agricultural Input and Output Price Indices (Base 2020=100),2024 January,Milk,125.84
Agricultural Input and Output Price Indices (Base 2020=100),2024 January,Energy,154.87
Agricultural Input and Output Price Indices (Base 2020=100),2024 January,Fertilisers,151.17
Agricultural Input and Output Price Indices (Base 2020=100),2024 January,Compound feeding stuffs,131.85
Agricultural Input and Output Price Indices (Base 2020=100),2024 February,Milk,134.4
Agricultural Input and Output Price Indices (Base 2020=100),2024 February,Energy,158.05
Agricultural Input and Output Price Indices (Base 2020=100),2024 February,Fertilisers,149.31
Agricultural Input and Output Price Indices (Base 2020=100),2024 February,Compound feeding stuffs,131.66
Agricultural Input and Output Price Indices (Base 2020=100),2024 March,Milk,137.05
Agricultural Input and Output Price Indices (Base 2020=100),2024 March,Energy,153.95
Agricultural Input and Output Price Indices (Base 2020=100),2024 March,Fertilisers,147.73
Agricultural Input and Output Price Indices (Base 2020=100),2024 March,Compound feeding stuffs,130.54
Agricultural Input and Output Price Indices (Base 2020=100),2024 April,Milk,134.59
Agricultural Input and Output Price Indices (Base 2020=100),2024 April,Energy,156.24
Agricultural Input and Output Price Indices (Base 2020=100),2024 April,Fertilisers,146.41
Agricultural Input and Output Price Indices (Base 2020=100),2024 April,Compound feeding stuffs,129.67
Agricultural Input and Output Price Indices (Base 2020=100),2024 May,Milk,138.77
Agricultural Input and Output Price Indices (Base 2020=100),2024 May,Energy,154.67
Agricultural Input and Output Price Indices (Base 2020=100),2024 May,Fertilisers,142.05
Agricultural Input and Output Price Indices (Base 2020=100),2024 May,Compound feeding stuffs,126.82
Agricultural Input and Output Price Indices (Base 2020=100),2024 June,Milk,140.49
Agricultural Input and Output Price Indices (Base 2020=100),2024 June,Energy,151.98
Agricultural Input and Output Price Indices (Base 2020=100),2024 June,Fertilisers,140
Agricultural Input and Output Price Indices (Base 2020=100),2024 June,Compound feeding stuffs,125.78
Agricultural Input and Output Price Indices (Base 2020=100),2024 July,Milk,146.08
Agricultural Input and Output Price Indices (Base 2020=100),2024 July,Energy,153.75
Agricultural Input and Output Price Indices (Base 2020=100),2024 July,Fertilisers,139.41
Agricultural Input and Output Price Indices (Base 2020=100),2024 July,Compound feeding stuffs,122.57
Agricultural Input and Output Price Indices (Base 2020=100),2024 August,Milk,152.32
Agricultural Input and Output Price Indices (Base 2020=100),2024 August,Energy,151.58
Agricultural Input and Output Price Indices (Base 2020=100),2024 August,Fertilisers,137.12
Agricultural Input and Output Price Indices (Base 2020=100),2024 August,Compound feeding stuffs,122.24
Agricultural Input and Output Price Indices (Base 2020=100),2024 September,Milk,160.57
Agricultural Input and Output Price Indices (Base 2020=100),2024 September,Energy,147.88
Agricultural Input and Output Price Indices (Base 2020=100),2024 September,Fertilisers,137.08
Agricultural Input and Output Price Indices (Base 2020=100),2024 September,Compound feeding stuffs,120.56
Agricultural Input and Output Price Indices (Base 2020=100),2024 October,Milk,164.46
Agricultural Input and Output Price Indices (Base 2020=100),2024 October,Energy,148.64
Agricultural Input and Output Price Indices (Base 2020=100),2024 October,Fertilisers,137.08
Agricultural Input and Output Price Indices (Base 2020=100),2024 October,Compound feeding stuffs,120.58
Agricultural Input and Output Price Indices (Base 2020=100),2024 November,Milk,166.94
Agricultural Input and Output Price Indices (Base 2020=100),2024 November,Energy,149.14
Agricultural Input and Output Price Indices (Base 2020=100),2024 November,Fertilisers,137.38
Agricultural Input and Output Price Indices (Base 2020=100),2024 November,Compound feeding stuffs,121.95
Agricultural Input and Output Price Indices (Base 2020=100),2024 December,Milk,164.71
Agricultural Input and Output Price Indices (Base 2020=100),2024 December,Energy,150.3
Agricultural Input and Output Price Indices (Base 2020=100),2024 December,Fertilisers,137.73
Agricultural Input and Output Price Indices (Base 2020=100),2024 December,Compound feeding stuffs,121.86
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Milk,166.62
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Energy,154.32
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Fertilisers,140.71
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Compound feeding stuffs,122.44
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Milk,167.1
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Energy,155.67
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Fertilisers,144.38
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Compound feeding stuffs,122.87
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Milk,161.13
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Energy,152.49
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Fertilisers,153.08
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Compound feeding stuffs,123.22
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Milk,159.71
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Energy,150.47
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Fertilisers,157.4
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Compound feeding stuffs,123.23
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Milk,158.44
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Energy,146.64
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Fertilisers,156.51
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Compound feeding stuffs,123.7
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Milk,157.26
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Energy,146.05
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Fertilisers,154.73
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Compound feeding stuffs,123.62
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Milk,155.15
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Energy,151.03
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Fertilisers,156.81
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Compound feeding stuffs,123.55
